startTime,actual_generation
2026-03-17 11:30:00+00:00,14822
2026-03-17 11:00:00+00:00,15103
2026-03-17 10:30:00+00:00,15324
2026-03-17 10:00:00+00:00,14562
2026-03-17 09:30:00+00:00,15245
2026-03-17 09:00:00+00:00,15319
2026-03-17 08:30:00+00:00,15315
2026-03-17 08:00:00+00:00,14960
2026-03-17 07:30:00+00:00,15021
2026-03-17 07:00:00+00:00,14967
2026-03-17 06:30:00+00:00,14923
2026-03-17 06:00:00+00:00,14877
2026-03-17 05:30:00+00:00,14816
2026-03-17 05:00:00+00:00,14994
2026-03-17 04:30:00+00:00,15361
2026-03-17 04:00:00+00:00,15571
2026-03-17 03:30:00+00:00,15487
2026-03-17 03:00:00+00:00,15498
2026-03-17 02:30:00+00:00,15552
2026-03-17 02:00:00+00:00,15673
2026-03-17 01:30:00+00:00,15531
2026-03-17 01:00:00+00:00,15507
2026-03-17 00:30:00+00:00,15478
2026-03-17 00:00:00+00:00,15759
