publishTime,startTime,forecasted_generation
2026-03-17 11:30:00+00:00,2026-03-16 21:00:00+00:00,19097
2026-03-17 11:30:00+00:00,2026-03-16 22:00:00+00:00,19767
2026-03-17 11:30:00+00:00,2026-03-16 23:00:00+00:00,19869
2026-03-17 11:30:00+00:00,2026-03-17 00:00:00+00:00,19612
2026-03-17 11:30:00+00:00,2026-03-17 01:00:00+00:00,19483
2026-03-17 11:30:00+00:00,2026-03-17 02:00:00+00:00,19505
2026-03-17 11:30:00+00:00,2026-03-17 03:00:00+00:00,19440
2026-03-17 11:30:00+00:00,2026-03-17 04:00:00+00:00,19233
2026-03-17 11:30:00+00:00,2026-03-17 05:00:00+00:00,19077
2026-03-17 11:30:00+00:00,2026-03-17 06:00:00+00:00,18947
2026-03-17 11:30:00+00:00,2026-03-17 07:00:00+00:00,18724
2026-03-17 11:30:00+00:00,2026-03-17 08:00:00+00:00,19032
2026-03-17 11:30:00+00:00,2026-03-17 09:00:00+00:00,19156
2026-03-17 11:30:00+00:00,2026-03-17 10:00:00+00:00,18894
2026-03-17 11:30:00+00:00,2026-03-17 11:00:00+00:00,18625
2026-03-17 11:30:00+00:00,2026-03-17 12:00:00+00:00,18392
2026-03-17 11:30:00+00:00,2026-03-17 13:00:00+00:00,18239
2026-03-17 11:30:00+00:00,2026-03-17 14:00:00+00:00,18205
2026-03-17 11:30:00+00:00,2026-03-17 15:00:00+00:00,18302
2026-03-17 11:30:00+00:00,2026-03-17 16:00:00+00:00,18558
2026-03-17 11:30:00+00:00,2026-03-17 17:00:00+00:00,18698
2026-03-17 11:30:00+00:00,2026-03-17 18:00:00+00:00,18352
2026-03-17 11:30:00+00:00,2026-03-17 19:00:00+00:00,17856
2026-03-17 11:30:00+00:00,2026-03-17 20:00:00+00:00,17445
2026-03-17 11:30:00+00:00,2026-03-17 21:00:00+00:00,17229
2026-03-17 11:30:00+00:00,2026-03-17 22:00:00+00:00,16885
2026-03-17 11:30:00+00:00,2026-03-17 23:00:00+00:00,16032
2026-03-17 11:30:00+00:00,2026-03-18 00:00:00+00:00,14866
2026-03-17 11:30:00+00:00,2026-03-18 01:00:00+00:00,13564
2026-03-17 11:30:00+00:00,2026-03-18 02:00:00+00:00,12181
2026-03-17 11:30:00+00:00,2026-03-18 03:00:00+00:00,10811
2026-03-17 11:30:00+00:00,2026-03-18 04:00:00+00:00,9593
2026-03-17 11:30:00+00:00,2026-03-18 05:00:00+00:00,8728
2026-03-17 11:30:00+00:00,2026-03-18 06:00:00+00:00,8176
2026-03-17 11:30:00+00:00,2026-03-18 07:00:00+00:00,7839
2026-03-17 11:30:00+00:00,2026-03-18 08:00:00+00:00,7607
2026-03-17 11:30:00+00:00,2026-03-18 09:00:00+00:00,7283
2026-03-17 11:30:00+00:00,2026-03-18 10:00:00+00:00,6948
2026-03-17 11:30:00+00:00,2026-03-18 11:00:00+00:00,6601
2026-03-17 11:30:00+00:00,2026-03-18 12:00:00+00:00,6211
2026-03-17 11:30:00+00:00,2026-03-18 13:00:00+00:00,5870
2026-03-17 11:30:00+00:00,2026-03-18 14:00:00+00:00,5643
2026-03-17 11:30:00+00:00,2026-03-18 15:00:00+00:00,5522
2026-03-17 11:30:00+00:00,2026-03-18 16:00:00+00:00,5421
2026-03-17 11:30:00+00:00,2026-03-18 17:00:00+00:00,5321
2026-03-17 11:30:00+00:00,2026-03-18 18:00:00+00:00,5290
2026-03-17 11:30:00+00:00,2026-03-18 19:00:00+00:00,5301
2026-03-17 11:30:00+00:00,2026-03-18 20:00:00+00:00,5290
2026-03-17 11:30:00+00:00,2026-03-18 21:00:00+00:00,5288
2026-03-17 11:30:00+00:00,2026-03-18 22:00:00+00:00,5197
2026-03-17 11:30:00+00:00,2026-03-18 23:00:00+00:00,4924
2026-03-17 11:30:00+00:00,2026-03-19 00:00:00+00:00,4502
2026-03-17 11:30:00+00:00,2026-03-19 01:00:00+00:00,3980
2026-03-17 11:30:00+00:00,2026-03-19 02:00:00+00:00,3483
2026-03-17 11:30:00+00:00,2026-03-19 03:00:00+00:00,3079
2026-03-17 11:30:00+00:00,2026-03-19 04:00:00+00:00,2789
2026-03-17 11:30:00+00:00,2026-03-19 05:00:00+00:00,2576
2026-03-17 11:30:00+00:00,2026-03-19 06:00:00+00:00,2477
2026-03-17 11:30:00+00:00,2026-03-19 07:00:00+00:00,2403
2026-03-17 11:30:00+00:00,2026-03-19 08:00:00+00:00,2230
2026-03-17 11:30:00+00:00,2026-03-19 09:00:00+00:00,1954
2026-03-17 11:30:00+00:00,2026-03-19 10:00:00+00:00,1661
2026-03-17 11:30:00+00:00,2026-03-19 11:00:00+00:00,1432
2026-03-17 11:30:00+00:00,2026-03-19 12:00:00+00:00,1271
2026-03-17 11:30:00+00:00,2026-03-19 13:00:00+00:00,1170
2026-03-17 11:30:00+00:00,2026-03-19 14:00:00+00:00,1150
2026-03-17 11:30:00+00:00,2026-03-19 15:00:00+00:00,1214
2026-03-17 11:30:00+00:00,2026-03-19 16:00:00+00:00,1367
2026-03-17 11:30:00+00:00,2026-03-19 17:00:00+00:00,1564
2026-03-17 11:30:00+00:00,2026-03-19 18:00:00+00:00,1828
2026-03-17 11:30:00+00:00,2026-03-19 19:00:00+00:00,2212
2026-03-17 11:30:00+00:00,2026-03-19 20:00:00+00:00,2625
2026-03-17 11:30:00+00:00,2026-03-19 21:00:00+00:00,2880
